Acc,Prec,Rec,F1S
0.7330316742081447,0.7286240939122791,0.7330316742081447,0.7275619957325806
0.7360482654600302,0.7316087684977545,0.7360482654600302,0.7322617541678013
0.7420814479638009,0.7359913727875007,0.7420814479638009,0.7352872234772438
0.7330316742081447,0.7279370898279051,0.7330316742081447,0.7272235657961981
0.7315233785822021,0.7254074215309664,0.7315233785822021,0.7255874917224757
0.7390648567119156,0.7335524178076409,0.7390648567119156,0.7335842202276344
0.7375565610859729,0.7331437194598872,0.7375565610859729,0.733491498035911
0.7375565610859729,0.7315401299190476,0.7375565610859729,0.7310429020612936
0.7345399698340875,0.7309103903997958,0.7345399698340875,0.7298941465504203
0.7360482654600302,0.7312987603878635,0.7360482654600302,0.7317189047561364
