Acc,Prec,Rec,F1S
0.7345399698340875,0.7298264050295294,0.7345399698340875,0.7294241146032865
0.7315233785822021,0.7267681018943143,0.7315233785822021,0.7258973898595996
0.7345399698340875,0.7291936944640999,0.7345399698340875,0.7282325314398357
0.7330316742081447,0.7272691264513911,0.7330316742081447,0.7272205731754875
0.7330316742081447,0.7278931383136463,0.7330316742081447,0.7280888475607108
0.7375565610859729,0.7327063317108565,0.7375565610859729,0.7327406250628127
0.7450980392156863,0.7409994960507108,0.7450980392156863,0.7410080331862302
0.7435897435897436,0.7382441996254082,0.7435897435897436,0.7378302640109601
0.7345399698340875,0.7294628837090855,0.7345399698340875,0.729579128090018
0.7435897435897436,0.7389097879235511,0.7435897435897436,0.7386687212212188
