Acc,Prec,Rec,F1S
0.8802946593001841,0.8827273035698907,0.8802946593001841,0.8800274080343733
0.8858195211786372,0.8893767701205036,0.8858195211786372,0.8859199668050913
0.8931860036832413,0.8965111228757372,0.8931860036832413,0.893289213030541
0.8895027624309392,0.8932032005336569,0.8895027624309392,0.8897502898183702
0.8895027624309392,0.8924375730709333,0.8895027624309392,0.8895098861466931
0.8876611418047882,0.890344521088426,0.8876611418047882,0.8876495318814627
0.8839779005524862,0.8867564621052931,0.8839779005524862,0.8839435510264039
0.8987108655616943,0.9018250014372164,0.8987108655616943,0.8984293882115061
0.8913443830570903,0.8930450984766194,0.8913443830570903,0.891306950231476
0.8895027624309392,0.8916075239146467,0.8895027624309392,0.889270237636999
